gram sugar,gram water,incident,refracted,uncertainty (Â±)
,,15,46.5,1
,,20,48,1
,,30,50,1
,,40,58,1
,,50,63,1
,,60,69,1
,,70,72,1
,,75,76,1
,,90,90,1
0,800,10,45,1
0,800,30,50,1
0,800,50,62,1
0,800,60,65,1
0,800,70,73,1
0,800,80,82,1
0,800,90,90,1
14,800,30,49,1
14,800,45,61,1
14,800,65,72,1
14,800,75,76,1
14,800,15,45,1
14,800,10,42,1
32,800,20,43,3
32,800,35,52,1
32,800,45,60,1
32,800,60,63,1
32,800,74,78,1
48,802,20,46,3
48,802,50,61,1
48,802,65,70,1
48,802,70,71,1
48,802,79,83,1
64,802,10,45,5
64,802,30,50,3
64,802,40,53,1
64,802,60,67,1
64,802,70,73,1
80,802,14,47,5
80,802,40,55,3
80,802,60,68,1
80,802,70,76,1
80,802,80,81,1